日付,実効再生産数
2020/8/31,0.86
2020/9/1,0.87
2020/9/2,0.85
2020/9/3,0.86
2020/9/4,0.83
2020/9/5,0.82
2020/9/6,0.81
2020/9/7,0.79
2020/9/8,0.79
2020/9/9,0.81
2020/9/10,0.85
2020/9/11,0.89
2020/9/12,0.94
2020/9/13,0.96
2020/9/14,0.99
2020/9/15,1.01
2020/9/16,1.03
2020/9/17,0.98
2020/9/18,0.95
2020/9/19,0.94
2020/9/20,0.95
2020/9/21,0.96
2020/9/22,0.91
2020/9/23,0.84
2020/9/24,0.88
2020/9/25,0.89
2020/9/26,0.91
2020/9/27,0.91
2020/9/28,0.89
2020/9/29,0.98
2020/9/30,1.14
2020/10/1,1.17
2020/10/2,1.17
2020/10/3,1.14
2020/10/4,1.12
2020/10/5,1.12
2020/10/6,1.06
2020/10/7,0.97
2020/10/8,0.94
2020/10/9,0.96
2020/10/10,0.99
2020/10/11,1.02
2020/10/12,1.02
2020/10/13,1.03
2020/10/14,1.05
2020/10/15,1.07
2020/10/16,1.06
2020/10/17,1.03
2020/10/18,1.02
2020/10/19,1.03
2020/10/20,1.03
2020/10/21,1.03
2020/10/22,0.99
2020/10/23,1.01
2020/10/24,1.04
2020/10/25,1.05
2020/10/26,1.06
2020/10/27,1.09
2020/10/28,1.1
2020/10/29,1.16
2020/10/30,1.14
2020/10/31,1.14
2020/11/1,1.15
2020/11/2,1.15
2020/11/3,1.15
2020/11/4,1.11
2020/11/5,1.11
2020/11/6,1.16
2020/11/7,1.2
2020/11/8,1.22
2020/11/9,1.25
2020/11/10,1.26
2020/11/11,1.4
2020/11/12,1.42
2020/11/13,1.42
2020/11/14,1.39
2020/11/15,1.39
2020/11/16,1.36
2020/11/17,1.34
2020/11/18,1.28
2020/11/19,1.27
2020/11/20,1.27
2020/11/21,1.29
2020/11/22,1.29
2020/11/23,1.31
2020/11/24,1.24
2020/11/25,1.18
2020/11/26,1.13
2020/11/27,1.09
2020/11/28,1.04
2020/11/29,1.0
2020/11/30,0.97
2020/12/1,1.03
2020/12/2,1.07
2020/12/3,1.06
2020/12/4,1.06
2020/12/5,1.04
2020/12/6,1.05
2020/12/7,1.05
2020/12/8,1.02
2020/12/9,1.02
2020/12/10,1.04
2020/12/11,1.06
2020/12/12,1.09
2020/12/13,1.11
2020/12/14,1.11
2020/12/15,1.11
2020/12/16,1.1
2020/12/17,1.09
2020/12/18,1.07
2020/12/19,1.05
2020/12/20,1.04
2020/12/21,1.03
2020/12/22,1.04
2020/12/23,1.04
2020/12/24,1.05
2020/12/25,1.09
2020/12/26,1.11
2020/12/27,1.13
2020/12/28,1.15
2020/12/29,1.17
2020/12/30,1.18
2020/12/31,1.18
2021/1/1,1.11
2021/1/2,1.07
2021/1/3,1.06
2021/1/4,1.06
2021/1/5,1.07
2021/1/6,1.12
2021/1/7,1.18
2021/1/8,1.33
2021/1/9,1.48
2021/1/10,1.55
2021/1/11,1.54
2021/1/12,1.48
2021/1/13,1.4
2021/1/14,1.27
2021/1/15,1.12
2021/1/16,1.03
2021/1/17,0.97
2021/1/18,0.95
2021/1/19,0.96
2021/1/20,0.95
2021/1/21,0.95
2021/1/22,0.94
2021/1/23,0.91
2021/1/24,0.88
2021/1/25,0.84
2021/1/26,0.8
2021/1/27,0.78
2021/1/28,0.76
2021/1/29,0.76
2021/1/30,0.77
2021/1/31,0.77
2021/2/1,0.78
2021/2/2,0.77
2021/2/3,0.76
2021/2/4,0.75
2021/2/5,0.74
2021/2/6,0.74
2021/2/7,0.73
2021/2/8,0.73
2021/2/9,0.74
2021/2/10,0.74
2021/2/11,0.75
2021/2/12,0.74
2021/2/13,0.73
2021/2/14,0.75
2021/2/15,0.75
2021/2/16,0.77
2021/2/17,0.77
2021/2/18,0.8
2021/2/19,0.85
2021/2/20,0.9
2021/2/21,0.89
2021/2/22,0.89
2021/2/23,0.89
2021/2/24,0.88
2021/2/25,0.85
2021/2/26,0.83
2021/2/27,0.83
2021/2/28,0.85
2021/3/1,0.87
2021/3/2,0.86
2021/3/3,0.94
2021/3/4,0.99
2021/3/5,1.02
2021/3/6,1.01
2021/3/7,1.02
2021/3/8,1.01
2021/3/9,1.06
2021/3/10,1.03
2021/3/11,1.04
2021/3/12,1.04
2021/3/13,1.08
2021/3/14,1.07
2021/3/15,1.08
2021/3/16,1.06
2021/3/17,1.07
2021/3/18,1.07
2021/3/19,1.08
2021/3/20,1.07
2021/3/21,1.09
2021/3/22,1.09
2021/3/23,1.12
2021/3/24,1.13
2021/3/25,1.15
2021/3/26,1.18
2021/3/27,1.2
2021/3/28,1.24
2021/3/29,1.26
2021/3/30,1.27
2021/3/31,1.29
2021/4/1,1.3
2021/4/2,1.29
2021/4/3,1.28
2021/4/4,1.27
2021/4/5,1.25
2021/4/6,1.23
2021/4/7,1.21
2021/4/8,1.2
2021/4/9,1.2
2021/4/10,1.2
2021/4/11,1.18
2021/4/12,1.19
2021/4/13,1.19
2021/4/14,1.2
2021/4/15,1.2
2021/4/16,1.2
2021/4/17,1.19
2021/4/18,1.21
2021/4/19,1.22
2021/4/20,1.21
2021/4/21,1.21
2021/4/22,1.19
2021/4/23,1.17
2021/4/24,1.16
2021/4/25,1.14
2021/4/26,1.12
2021/4/27,1.11
2021/4/28,1.1
2021/4/29,1.09
2021/4/30,1.06
2021/5/1,1.05
2021/5/2,1.07
2021/5/3,1.08
2021/5/4,1.05
2021/5/5,1.01
2021/5/6,0.97
2021/5/7,1.0
2021/5/8,1.02
2021/5/9,1.01
2021/5/10,0.99
2021/5/11,1.05
2021/5/12,1.14
2021/5/13,1.23
2021/5/14,1.2
2021/5/15,1.15
2021/5/16,1.12
2021/5/17,1.08
2021/5/18,1.03
2021/5/19,0.95
2021/5/20,0.89
2021/5/21,0.87
2021/5/22,0.86
2021/5/23,0.86
2021/5/24,0.86
2021/5/25,0.85
2021/5/26,0.84
2021/5/27,0.83
2021/5/28,0.81
2021/5/29,0.81
2021/5/30,0.8
2021/5/31,0.8
2021/6/1,0.79
2021/6/2,0.77
2021/6/3,0.77
2021/6/4,0.77
2021/6/5,0.77
2021/6/6,0.77
2021/6/7,0.77
2021/6/8,0.77
2021/6/9,0.78
2021/6/10,0.79
2021/6/11,0.8
2021/6/12,0.79
2021/6/13,0.79
2021/6/14,0.79
2021/6/15,0.8
2021/6/16,0.8
2021/6/17,0.81
2021/6/18,0.82
2021/6/19,0.82
2021/6/20,0.85
2021/6/21,0.86
2021/6/22,0.88
2021/6/23,0.92
2021/6/24,0.96
2021/6/25,0.98
2021/6/26,1.02
2021/6/27,1.02
2021/6/28,1.04
2021/6/29,1.03
2021/6/30,1.03
2021/7/1,1.02
2021/7/2,1.02
2021/7/3,1.03
2021/7/4,1.05
2021/7/5,1.04
2021/7/6,1.06
2021/7/7,1.09
2021/7/8,1.11
2021/7/9,1.14
2021/7/10,1.16
2021/7/11,1.18
2021/7/12,1.2
2021/7/13,1.22
2021/7/14,1.25
2021/7/15,1.28
2021/7/16,1.3
2021/7/17,1.33
2021/7/18,1.34
2021/7/19,1.35
2021/7/20,1.36
2021/7/21,1.37
2021/7/22,1.37
2021/7/23,1.34
2021/7/24,1.26
2021/7/25,1.27
2021/7/26,1.31
2021/7/27,1.36
2021/7/28,1.41
2021/7/29,1.46
2021/7/30,1.58
2021/7/31,1.78
2021/8/1,1.79
2021/8/2,1.76
2021/8/3,1.7
2021/8/4,1.62
2021/8/5,1.54
2021/8/6,1.46
2021/8/7,1.34
2021/8/8,1.31
2021/8/9,1.29
2021/8/10,1.22
2021/8/11,1.19
2021/8/12,1.17
2021/8/13,1.16
2021/8/14,1.16
2021/8/15,1.15
2021/8/16,1.13
2021/8/17,1.21
2021/8/18,1.25
2021/8/19,1.26
2021/8/20,1.25
2021/8/21,1.25
2021/8/22,1.25
2021/8/23,1.23
2021/8/24,1.18
2021/8/25,1.13
2021/8/26,1.09
2021/8/27,1.06
2021/8/28,1.02
2021/8/29,0.98
2021/8/30,0.96
2021/8/31,0.93
2021/9/1,0.91
2021/9/2,0.88
2021/9/3,0.85
2021/9/4,0.83
2021/9/5,0.81
2021/9/6,0.8
2021/9/7,0.77
2021/9/8,0.75
2021/9/9,0.73
2021/9/10,0.71
2021/9/11,0.69
2021/9/12,0.67
2021/9/13,0.65
2021/9/14,0.65
2021/9/15,0.64
2021/9/16,0.64
2021/9/17,0.64
2021/9/18,0.63
2021/9/19,0.63
2021/9/20,0.66
2021/9/21,0.61
2021/9/22,0.6
2021/9/23,0.62
2021/9/24,0.6
2021/9/25,0.6
2021/9/26,0.61
2021/9/27,0.6
2021/9/28,0.69
2021/9/29,0.7
2021/9/30,0.65
2021/10/1,0.71
2021/10/2,0.7
2021/10/3,0.68
2021/10/4,0.68
2021/10/5,0.63
2021/10/6,0.63
2021/10/7,0.66
2021/10/8,0.64
2021/10/9,0.65
2021/10/10,0.68
2021/10/11,0.69
2021/10/12,0.69
2021/10/13,0.7
2021/10/14,0.71
2021/10/15,0.72
2021/10/16,0.73
2021/10/17,0.73
2021/10/18,0.73
2021/10/19,0.74
2021/10/20,0.73
2021/10/21,0.71
2021/10/22,0.71
2021/10/23,0.69
2021/10/24,0.68
2021/10/25,0.69
2021/10/26,0.71
2021/10/27,0.73
2021/10/28,0.79
2021/10/29,0.82
2021/10/30,0.87
2021/10/31,0.91
2021/11/1,0.9
2021/11/2,0.88
2021/11/3,0.89
2021/11/4,0.83
2021/11/5,0.81
2021/11/6,0.8
2021/11/7,0.77
2021/11/8,0.79
2021/11/9,0.82
2021/11/10,0.81
2021/11/11,0.93
2021/11/12,0.93
2021/11/13,0.93
2021/11/14,0.95
2021/11/15,0.93
2021/11/16,0.9
2021/11/17,0.92
2021/11/18,0.85
2021/11/19,0.84
2021/11/20,0.81
2021/11/21,0.82
2021/11/22,0.81
2021/11/23,0.83
2021/11/24,0.75
2021/11/25,0.74
2021/11/26,0.74
2021/11/27,0.8
2021/11/28,0.75
2021/11/29,0.8
2021/11/30,0.82
2021/12/1,0.99
2021/12/2,1.03
2021/12/3,1.08
2021/12/4,1.06
2021/12/5,1.17
2021/12/6,1.1
2021/12/7,1.07
2021/12/8,1.01
2021/12/9,1.04
2021/12/10,1.01
2021/12/11,1.03
2021/12/12,1.02
2021/12/13,1.06
2021/12/14,1.12
2021/12/15,1.14
2021/12/16,1.11
2021/12/17,1.16
2021/12/18,1.18
2021/12/19,1.2
2021/12/20,1.19
2021/12/21,1.18
2021/12/22,1.19
2021/12/23,1.29
2021/12/24,1.33
2021/12/25,1.35
2021/12/26,1.34
2021/12/27,1.36
2021/12/28,1.4
2021/12/29,1.46
2021/12/30,1.43
2021/12/31,1.43
2022/1/1,1.15
2022/1/2,1.17
2022/1/3,1.23
2022/1/4,1.27
2022/1/5,1.4
2022/1/6,1.58
2022/1/7,1.75
2022/1/8,1.93
2022/1/9,2.03
2022/1/10,1.99
2022/1/11,1.94
2022/1/12,1.84
2022/1/13,1.73
2022/1/14,1.61
2022/1/15,1.53
2022/1/16,1.48
2022/1/17,1.45
2022/1/18,1.5
2022/1/19,1.46
2022/1/20,1.41
2022/1/21,1.37
2022/1/22,1.34
2022/1/23,1.31
2022/1/24,1.3
2022/1/25,1.26
2022/1/26,1.22
2022/1/27,1.2
2022/1/28,1.18
2022/1/29,1.16
2022/1/30,1.15
2022/1/31,1.14
2022/2/1,1.11
2022/2/2,1.1
2022/2/3,1.08
2022/2/4,1.07
2022/2/5,1.05
2022/2/6,1.03
2022/2/7,1.02
2022/2/8,1.01
2022/2/9,1.0
2022/2/10,0.99
2022/2/11,0.99
2022/2/12,0.96
2022/2/13,0.96
2022/2/14,0.96
2022/2/15,0.95
2022/2/16,0.95
2022/2/17,0.96
2022/2/18,0.97
2022/2/19,1.02
2022/2/20,1.02
2022/2/21,1.03
2022/2/22,1.03
2022/2/23,1.03
2022/2/24,1.0
2022/2/25,0.99
2022/2/26,0.96
2022/2/27,0.95
2022/2/28,0.95
