日付,入院治療を要する者
2021/3/11,11810.0
2021/3/12,12058.0
2021/3/13,12312.0
2021/3/14,12279.0
2021/3/15,12128.0
2021/3/16,11964.0
2021/3/17,12217.0
2021/3/18,12570.0
2021/3/19,12849.0
2021/3/20,13302.0
2021/3/21,13271.0
2021/3/22,13131.0
2021/3/23,13325.0
2021/3/24,13833.0
2021/3/25,14571.0
2021/3/26,15239.0
2021/3/27,16162.0
2021/3/28,16738.0
2021/3/29,17059.0
2021/3/30,17535.0
2021/3/31,18669.0
2021/4/1,20100.0
2021/4/2,21409.0
2021/4/3,22499.0
2021/4/4,23347.0
2021/4/5,23703.0
2021/4/6,24360.0
2021/4/7,25844.0
2021/4/8,27362.0
2021/4/9,28744.0
2021/4/10,29558.0
2021/4/11,30327.0
2021/4/12,29885.0
2021/4/13,30920.0
2021/4/14,32198.0
2021/4/15,34543.0
2021/4/16,36493.0
2021/4/17,38600.0
2021/4/18,40425.0
2021/4/19,40714.0
2021/4/20,41907.0
2021/4/21,44048.0
2021/4/22,46115.0
2021/4/23,48065.0
2021/4/24,49674.0
2021/4/25,51167.0
2021/4/26,51606.0
2021/4/27,52439.0
2021/4/28,54098.0
2021/4/29,56169.0
2021/4/30,57119.0
2021/5/1,58722.0
2021/5/2,60156.0
2021/5/3,61292.0
2021/5/4,61715.0
2021/5/5,61716.0
2021/5/6,62453.0
2021/5/7,63315.0
2021/5/8,64966.0
2021/5/9,67038.0
2021/5/10,68061.0
2021/5/11,69255.0
2021/5/12,70104.0
2021/5/13,71144.0
2021/5/14,72760.0
2021/5/15,73424.0
2021/5/16,73235.0
2021/5/17,70565.0
2021/5/18,68228.0
2021/5/19,66835.0
2021/5/20,66721.0
2021/5/21,65752.0
2021/5/22,64765.0
2021/5/23,63968.0
2021/5/24,61541.0
2021/5/25,60260.0
2021/5/26,59210.0
2021/5/27,58515.0
2021/5/28,56022.0
2021/5/29,55439.0
2021/5/30,53676.0
2021/5/31,51512.0
2021/6/1,49400.0
2021/6/2,46897.0
2021/6/3,45419.0
2021/6/4,43211.0
2021/6/5,42051.0
2021/6/6,40992.0
2021/6/7,39005.0
2021/6/8,37068.0
2021/6/9,35268.0
2021/6/10,33943.0
2021/6/11,32235.0
2021/6/12,31250.0
2021/6/13,30530.0
2021/6/14,28228.0
2021/6/15,25809.0
2021/6/16,24317.0
2021/6/17,22969.0
2021/6/18,21134.0
2021/6/19,20257.0
2021/6/20,19778.0
2021/6/21,18722.0
2021/6/22,18119.0
2021/6/23,17907.0
2021/6/24,17910.0
2021/6/25,17349.0
2021/6/26,17210.0
2021/6/27,17017.0
2021/6/28,16531.0
2021/6/29,16159.0
2021/6/30,16272.0
2021/7/1,16249.0
2021/7/2,16192.0
2021/7/3,16350.0
2021/7/4,16199.0
2021/7/5,15739.0
2021/7/6,15423.0
2021/7/7,16127.0
2021/7/8,16629.0
2021/7/9,17015.0
2021/7/10,17906.0
2021/7/11,18332.0
2021/7/12,18354.0
2021/7/13,18873.0
2021/7/14,20047.0
2021/7/15,21555.0
2021/7/16,23244.0
2021/7/17,25121.0
2021/7/18,26315.0
2021/7/19,26612.0
2021/7/20,27797.0
2021/7/21,29973.0
2021/7/22,33006.0
2021/7/23,35017.0
2021/7/24,35436.0
2021/7/25,37223.0
2021/7/26,38793.0
2021/7/27,42267.0
2021/7/28,47829.0
2021/7/29,54401.0
2021/7/30,61513.0
2021/7/31,69183.0
2021/8/1,75631.0
2021/8/2,79573.0
2021/8/3,86144.0
2021/8/4,93685.0
2021/8/5,102551.0
2021/8/6,109705.0
2021/8/7,117047.0
2021/8/8,123044.0
2021/8/9,126268.0
2021/8/10,126674.0
2021/8/11,129956.0
2021/8/12,137246.0
2021/8/13,145674.0
2021/8/14,153626.0
2021/8/15,156406.0
2021/8/16,157758.0
2021/8/17,161699.0
2021/8/18,168699.0
2021/8/19,181106.0
2021/8/20,193355.0
2021/8/21,203540.0
2021/8/22,211710.0
2021/8/23,209563.0
2021/8/24,212567.0
2021/8/25,217971.0
2021/8/26,225403.0
2021/8/27,229624.0
2021/8/28,231359.0
2021/8/29,231596.0
2021/8/30,215627.0
2021/8/31,208512.0
2021/9/1,205577.0
2021/9/2,204310.0
2021/9/3,199984.0
2021/9/4,191003.0
2021/9/5,184559.0
2021/9/6,177367.0
2021/9/7,165207.0
2021/9/8,157731.0
2021/9/9,150024.0
2021/9/10,140946.0
2021/9/11,133515.0
2021/9/12,123774.0
2021/9/13,112159.0
2021/9/14,104034.0
2021/9/15,96586.0
2021/9/16,90597.0
2021/9/17,83869.0
2021/9/18,77198.0
2021/9/19,70628.0
2021/9/20,65164.0
2021/9/21,58190.0
2021/9/22,51671.0
2021/9/23,47557.0
2021/9/24,42895.0
2021/9/25,39384.0
2021/9/26,36683.0
2021/9/27,33850.0
2021/9/28,30919.0
2021/9/29,27943.0
2021/9/30,25513.0
2021/10/1,23467.0
2021/10/2,21041.0
2021/10/3,18867.0
2021/10/4,17457.0
2021/10/5,15555.0
2021/10/6,14122.0
2021/10/7,12809.0
2021/10/8,11906.0
2021/10/9,10871.0
2021/10/10,10351.0
2021/10/11,9554.0
2021/10/12,8628.0
2021/10/13,8061.0
2021/10/14,7602.0
2021/10/15,7135.0
2021/10/16,6641.0
2021/10/17,6349.0
2021/10/18,5944.0
2021/10/19,5497.0
2021/10/20,5079.0
2021/10/21,4774.0
2021/10/22,4389.0
2021/10/23,4101.0
2021/10/24,3917.0
2021/10/25,3691.0
2021/10/26,3317.0
2021/10/27,3172.0
2021/10/28,3031.0
2021/10/29,2853.0
2021/10/30,2776.0
2021/10/31,2781.0
2021/11/1,2589.0
2021/11/2,2422.0
2021/11/3,2336.0
2021/11/4,2280.0
2021/11/5,2160.0
2021/11/6,2112.0
2021/11/7,2128.0
2021/11/8,2023.0
2021/11/9,1882.0
2021/11/10,1856.0
2021/11/11,1860.0
2021/11/12,1823.0
2021/11/13,1789.0
2021/11/14,1779.0
2021/11/15,1715.0
2021/11/16,1544.0
2021/11/17,1533.0
2021/11/18,1512.0
2021/11/19,1484.0
2021/11/20,1402.0
2021/11/21,1401.0
2021/11/22,1357.0
2021/11/23,1257.0
2021/11/24,1235.0
2021/11/25,1211.0
2021/11/26,1147.0
2021/11/27,1132.0
2021/11/28,1073.0
2021/11/29,1040.0
2021/11/30,1050.0
2021/12/1,1049.0
2021/12/2,1013.0
2021/12/3,1000.0
2021/12/4,1012.0
2021/12/5,1044.0
2021/12/6,1007.0
2021/12/7,999.0
2021/12/8,1019.0
2021/12/9,1052.0
2021/12/10,1065.0
2021/12/11,1074.0
2021/12/12,1085.0
2021/12/13,1044.0
2021/12/14,1078.0
2021/12/15,1115.0
2021/12/16,1155.0
2021/12/17,1214.0
2021/12/18,1257.0
2021/12/19,1325.0
2021/12/20,1348.0
2021/12/21,1386.0
2021/12/22,1483.0
2021/12/23,1609.0
2021/12/24,1754.0
2021/12/25,1880.0
2021/12/26,1995.0
2021/12/27,1975.0
2021/12/28,2064.0
2021/12/29,2222.0
2021/12/30,2509.0
2021/12/31,2781.0
2022/1/1,3048.0
2022/1/2,3328.0
2022/1/3,3792.0
2022/1/4,4628.0
2022/1/5,6619.0
2022/1/6,10020.0
2022/1/7,15149.0
2022/1/8,22051.0
2022/1/9,29210.0
2022/1/10,34797.0
2022/1/11,40673.0
2022/1/12,50273.0
2022/1/13,64605.0
2022/1/14,81748.0
2022/1/15,99772.0
2022/1/16,116869.0
2022/1/17,134320.0
2022/1/18,154291.0
2022/1/19,183162.0
2022/1/20,216960.0
2022/1/21,252786.0
2022/1/22,290671.0
2022/1/23,322100.0
2022/1/24,344062.0
2022/1/25,375697.0
2022/1/26,415806.0
2022/1/27,459980.0
2022/1/28,503133.0
2022/1/29,539357.0
2022/1/30,580342.0
2022/1/31,595410.0
2022/2/1,620913.0
2022/2/2,662065.0
2022/2/3,713372.0
2022/2/4,739198.0
2022/2/5,778808.0
2022/2/6,799891.0
2022/2/7,803176.0
2022/2/8,818933.0
2022/2/9,836905.0
2022/2/10,861630.0
2022/2/11,872594.0
2022/2/12,868621.0
2022/2/13,855217.0
2022/2/14,838231.0
2022/2/15,832443.0
2022/2/16,838051.0
2022/2/17,839753.0
2022/2/18,838264.0
2022/2/19,829097.0
2022/2/20,827330.0
2022/2/21,803669.0
2022/2/22,782369.0
2022/2/23,783151.0
2022/2/24,762066.0
2022/2/25,738662.0
2022/2/26,728605.0
2022/2/27,716006.0
2022/2/28,703137.0
